R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8956.425, км||    7.620, км/с||    0.038, рад||    1.396, рад||    0.523, рад||    0.796, рад||  188.000, с
 8956.718, км||    7.619, км/с||    0.039, рад||    1.396, рад||    0.523, рад||    0.797, рад||  189.000, с
 8957.013, км||    7.619, км/с||    0.039, рад||    1.396, рад||    0.523, рад||    0.798, рад||  190.000, с
 8957.308, км||    7.619, км/с||    0.039, рад||    1.396, рад||    0.523, рад||    0.798, рад||  191.000, с
 8957.606, км||    7.619, км/с||    0.039, рад||    1.396, рад||    0.523, рад||    0.799, рад||  192.000, с
 8957.905, км||    7.619, км/с||    0.039, рад||    1.396, рад||    0.523, рад||    0.800, рад||  193.000, с
 8958.205, км||    7.618, км/с||    0.040, рад||    1.396, рад||    0.523, рад||    0.801, рад||  194.000, с
 8958.507, км||    7.618, км/с||    0.040, рад||    1.396, рад||    0.523, рад||    0.802, рад||  195.000, с
 8958.810, км||    7.618, км/с||    0.040, рад||    1.396, рад||    0.523, рад||    0.803, рад||  196.000, с
 8959.115, км||    7.618, км/с||    0.040, рад||    1.396, рад||    0.523, рад||    0.804, рад||  197.000, с
 8959.421, км||    7.618, км/с||    0.040, рад||    1.396, рад||    0.523, рад||    0.804, рад||  198.000, с
 8959.729, км||    7.617, км/с||    0.041, рад||    1.396, рад||    0.523, рад||    0.805, рад||  199.000, с
 8960.039, км||    7.617, км/с||    0.041, рад||    1.396, рад||    0.523, рад||    0.806, рад||  200.000, с
 8960.350, км||    7.617, км/с||    0.041, рад||    1.396, рад||    0.523, рад||    0.807, рад||  201.000, с
 8960.662, км||    7.617, км/с||    0.041, рад||    1.396, рад||    0.523, рад||    0.808, рад||  202.000, с
 8960.976, км||    7.617, км/с||    0.041, рад||    1.396, рад||    0.523, рад||    0.809, рад||  203.000, с
 8961.291, км||    7.616, км/с||    0.042, рад||    1.396, рад||    0.523, рад||    0.809, рад||  204.000, с
 8961.608, км||    7.616, км/с||    0.042, рад||    1.396, рад||    0.523, рад||    0.810, рад||  205.000, с
 8961.926, км||    7.616, км/с||    0.042, рад||    1.396, рад||    0.523, рад||    0.811, рад||  206.000, с
 8962.246, км||    7.616, км/с||    0.042, рад||    1.396, рад||    0.523, рад||    0.812, рад||  207.000, с
 8962.568, км||    7.615, км/с||    0.042, рад||    1.396, рад||    0.523, рад||    0.813, рад||  208.000, с
 8962.891, км||    7.615, км/с||    0.043, рад||    1.396, рад||    0.523, рад||    0.814, рад||  209.000, с
 8963.215, км||    7.615, км/с||    0.043, рад||    1.396, рад||    0.523, рад||    0.815, рад||  210.000, с
 8963.541, км||    7.615, км/с||    0.043, рад||    1.396, рад||    0.523, рад||    0.815, рад||  211.000, с
 8963.868, км||    7.615, км/с||    0.043, рад||    1.396, рад||    0.523, рад||    0.816, рад||  212.000, с
 8964.197, км||    7.614, км/с||    0.043, рад||    1.396, рад||    0.523, рад||    0.817, рад||  213.000, с
 8964.528, км||    7.614, км/с||    0.044, рад||    1.396, рад||    0.523, рад||    0.818, рад||  214.000, с
 8964.859, км||    7.614, км/с||    0.044, рад||    1.396, рад||    0.523, рад||    0.819, рад||  215.000, с
 8965.193, км||    7.614, км/с||    0.044, рад||    1.396, рад||    0.523, рад||    0.820, рад||  216.000, с
 8965.528, км||    7.614, км/с||    0.044, рад||    1.396, рад||    0.523, рад||    0.821, рад||  217.000, с
 8965.864, км||    7.613, км/с||    0.044, рад||    1.396, рад||    0.523, рад||    0.821, рад||  218.000, с
